,Ráno,,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
so 17.8.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Úvodní hra + skautské seznámení
(Ma + Sk)     
                                                        ",,,,,,,,,,,,,,,,,,,,,,,,Přespání mimo základnu,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ne 18.8.,SNÍDANĚ,,"Seznámení se základnou
vytváření pravidel
(Ea + Dr)",,,,"Seznamovačky
(Ve + Mí)",,,,,,"Fenomenální úvod
(To + Ve)",,OBĚD,,,,,,"Svojsíkův drsno nabombený závod na kole
(Ea + Ha + Ma)",,,,,,,,Svačina,,"Mše
(Sk + Ha)",,,,,,Reflexe,,Večeře,,,,"Společenský strukturovaný zábavný programokvíz ve skupinkách
(Sk + Ea)",,,,,,,,,,RITUÁL,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po 19.8.,SNÍDANĚ,,"Strategická světová politika
(Sk + Ha)",,,,,,,"Fenomény
(Ve + To + Ma)",,,,,OBĚD,,,,,,"4program
Únikovka feťácké doupě (Ma + Ea), Workshop AI (To), Lana (Mí), Camera obscura (Sk)",,,,,,,,Svačina,,"4program
Únikovka feťácké doupě (Ma + Ea), Workshop AI (To), Lana (Mí), Camera obscura (Sk)",,,,,,,,Reflexe,,Večeře,,,,"Storming
(Dr + Ea)",,,,,,,,RITUÁL,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
út 20.8.,SNÍDANĚ,,"Cykloprogram
(To + Ma)",,,,,,,,"Kurňa co to je EU?
(Sk + Ea + Ha)",,,,,,OBĚD,,,,,,"AI Orvo
(To + Mí)",,,,,,Svačina,,"Feminismus
(Dr + Ve)",,,,,,Reflexe,,Večeře,,,,"Putování
(Dr + Ve)                                                
                                                        ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
st 21.8.,SNÍDANĚ,,"Putování
(Dr + Ve)                                                
                                                        ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reflexe,,Večeře,,,,"Čajovna
(Ma + Ve)",,,,,,,,,,RITUÁL,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
čt 22.8.,SNÍDANĚ,,"Fyzicky vrcholný volební marathon v ČR na kole
(Ea + Mí + Ha)",,,,,,,,"Sluníčkový program
(Mí + To)",,,,OBĚD,,,,,,"Události v regionech
(Sk + Ve)",,,,,,,,Svačina,,"Sex a vztahy
(Mí + Bu)",,,,,,,,Reflexe,,Večeře,,,,"Tři skautské principy
(Ma + To + Sk)",,,,,,,,RITUÁL,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
